date,h00922,spread,s2_score,signal_used,nav,cash,shares,position,exposure,trade_action
2015-02-27,4612.19,0.2452,0.2425742574257425,,147601.54950440195,117045.01013112436,6.625169252194202,0.2,0.20702045118006218,NONE
2015-03-02,4671.3,0.2240999999999999,0.2222222222222222,0.2425742574257425,147993.16325889915,88795.89795533949,12.67254625127045,0.4,0.4,BUY
2015-03-03,4602.25,0.3235999999999999,0.3275862068965517,,147118.12394024892,88795.89795533949,12.67254625127045,0.4,0.3964312786410778,NONE
2015-03-04,4641.29,0.3416000000000001,0.339066339066339,,147612.8601458985,88795.89795533949,12.67254625127045,0.4,0.3984541870703213,NONE
2015-03-05,4609.02,0.3533999999999997,0.3504901960784313,,147203.91707837002,88795.89795533949,12.67254625127045,0.4,0.39678304954299987,NONE
2015-03-06,4600.91,0.3050000000000001,0.3178484107579462,,147101.1427282722,88795.89795533949,12.67254625127045,0.4,0.39636160325848174,NONE
2015-03-09,4689.56,0.1789,0.1902439024390244,,148224.56395344733,88795.89795533949,12.67254625127045,0.4,0.40093668966213003,NONE
2015-03-10,4690.16,0.1987999999999998,0.2019464720194647,,148232.1674811981,88795.89795533949,12.67254625127045,0.4,0.4009674184478046,NONE
2015-03-11,4705.18,0.2591000000000001,0.2597087378640776,,148422.5091258922,88795.89795533949,12.67254625127045,0.4,0.4017356364726143,NONE
2015-03-12,4766.79,0.161,0.1743341404358353,,149203.26470043295,88795.89795533949,12.67254625127045,0.4,0.40486625320416453,NONE
2015-03-13,4804.64,0.1009000000000002,0.1425120772946859,,149682.92057604354,88795.89795533949,12.67254625127045,0.4,0.4067733471954242,NONE
2015-03-16,4905.24,0.0102999999999999,0.1108433734939759,,150957.77872892134,88795.89795533949,12.67254625127045,0.4,0.4117832237397154,NONE
2015-03-17,4982.53,-0.0518,0.0841346153846153,,151937.23982868204,88795.89795533949,12.67254625127045,0.4,0.4155751542185316,NONE
2015-03-18,5113.96,-0.1379999999999999,0.0647482014388489,,153602.79258248652,88795.89795533949,12.67254625127045,0.4,0.4219122161619878,NONE
2015-03-19,5142.78,-0.1173999999999999,0.069377990430622,,153968.01536544814,88795.89795533949,12.67254625127045,0.4,0.4232834803736379,NONE
2015-03-20,5184.86,-0.1053999999999999,0.071599045346062,,154501.2761117016,88795.89795533949,12.67254625127045,0.4,0.4252740159172428,NONE
2015-03-23,5291.26,-0.1583000000000001,0.0642857142857142,,155849.63503283676,88795.89795533949,12.67254625127045,0.4,0.4302463529245313,NONE
2015-03-24,5317.84,-0.1468000000000002,0.0665083135391924,,156186.47131219553,88795.89795533949,12.67254625127045,0.4,0.4314751001842628,NONE
2015-03-25,5305.25,-0.1033999999999997,0.0781990521327014,,156026.92395489203,88795.89795533949,12.67254625127045,0.4,0.4308937476649177,NONE
2015-03-26,5314.58,-0.1894,0.0614657210401891,,156145.15881141642,88795.89795533949,12.67254625127045,0.4,0.43132468126929036,NONE
2015-03-27,5364.34,-0.2107000000000001,0.0495283018867924,,156775.74471287962,88795.89795533949,12.67254625127045,0.4,0.43361201620849565,NONE
2015-03-30,5498.28,-0.3340000000000001,0.0164705882352941,,158473.10555777478,88795.89795533949,12.67254625127045,0.4,0.4396784385413143,NONE
2015-03-31,5457.87,-0.3533999999999997,0.0140845070422535,,157961.00796376093,88795.89795533949,12.67254625127045,0.4,0.4378619185836619,NONE
